Sample,Caption,LaTeX_Document
filename,caption,"\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    \node[draw, rectangle, minimum width=3cm, minimum height=1cm] (box) {Caption};
\end{tikzpicture}
    \end{document}"
img_0000.png,"The image features a page of text set against a gradient background. The left side has a white background with black text that includes section headings and paragraphs of body text. The section heading ""1.2 Ipsum"" is bold and larger than the other text. Below it, there are two paragraphs, both written in a serif font. The text is aligned to the left and consists of sentences that appear to be placeholder text, possibly resembling Latin.

On the right side, there's a vertical gradient transitioning from green at the top to blue at the bottom. The word ""Random"" is displayed vertically along the right edge in a large font, with the letters arranged so they are readable from top to bottom. The overall composition presents a clean, modern layout with a striking contrast between the text and the colorful gradient background.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}[remember picture, overlay]

% Gradient background
\fill[green] (0,0) rectangle (5,10);
\fill[blue] (0,5) rectangle (5,10);

% White background for text
\fill[white] (0,0) rectangle (5,5);

% Section heading
\node[anchor=north west, font=\bfseries\Large] at (0.5,5) {1.2 Ipsum};

% Body text
\node[anchor=north west, font=\sffamily] at (0.5,4.5) {
    Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
};
\node[anchor=north west, font=\sffamily] at (0.5,3.5) {
    Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.
};

% Vertical text ""Random""
\node[anchor=north east, font=\Huge, rotate=90] at (5,5) {Random};
\end{tikzpicture}
    \end{document}"
img_0001.png,"The image depicts a simple graph consisting of six nodes and several edges. At the top, there is a node labeled ""3"" positioned near the right side. Directly below ""3,"" there is another node labeled ""5."" To the left of both nodes, there's a node labeled ""1,"" which is connected by a diagonal line to node ""2"" located below it, and also connected to node ""3."" Node ""2"" is situated at the lowest point of the diagram. 

From ""2,"" a vertical line connects downward to another node labeled ""4."" This creates a vertical structure where nodes ""2"" and ""4"" are directly aligned. The edges visually create a triangular shape with ""3"" at the top vertex, while ""1"" and ""2"" form the base. The overall structure has a simple, clear arrangement of connected nodes.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    \node (1) at (0,2) {1};
    \node (2) at (0,0) {2};
    \node (3) at (2,2) {3};
    \node (4) at (0,-2) {4};
    \node (5) at (0,1) {5};
    
    \draw (1) -- (2);
    \draw (1) -- (3);
    \draw (3) -- (2);
    \draw (2) -- (4);
\end{tikzpicture}
    \end{document}"
img_0002.png,"The image depicts a rectangular domain with labeled boundaries. The left side is labeled ""Γ inflow"" in red, while the right side is labeled ""Γo"" in blue. The top and bottom boundaries are labeled ""ΓN,θ"" in black. Inside the rectangle, there is a boundary denoted as ""∂B"" represented by a circle with two points marked, labeled ""x1"" and ""x2."" The overall structure conveys a mathematical or physical representation, possibly related to boundary conditions in a fluid dynamics or mathematical analysis context.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % Draw rectangle
    \draw[thick] (0, 0) rectangle (4, 2);

    % Label boundaries
    \node[red] at (-0.2, 1) {Γ inflow};
    \node[blue] at (4.2, 1) {Γo};
    \node[black] at (2, 2.2) {ΓN,θ};
    \node[black] at (2, -0.2) {ΓN,θ};

    % Draw circle for ∂B
    \draw[thick] (2, 1) circle (0.5);

    % Mark points x1 and x2
    \fill (1.7, 1) circle (2pt);
    \node[below] at (1.7, 1) {$x_1$};
    \fill (2.3, 1) circle (2pt);
    \node[below] at (2.3, 1) {$x_2$};
\end{tikzpicture}
    \end{document}"
img_0003.png,"The image presents a combination line and bar chart illustrating temperature and precipitation data across the months of the year from January to December. The horizontal axis is labeled with the names of the months in French: ""Janvier,"" ""Février,"" ""Mars,"" ""Avril,"" ""Mai,"" ""Juin,"" ""Juillet,"" ""Août,"" ""Septembre,"" ""Octobre,"" ""Novembre,"" and ""Décembre."" The vertical axis on the left indicates temperature, ranging from 0 to 30 degrees, while the vertical axis on the right shows the precipitation levels from 0 to 100 millimeters.

The chart features two lines. The red line represents the maximum temperatures, marked with circular red data points, while the blue line represents the minimum temperatures, marked with circular blue data points. These lines are connected by smooth curves. Additionally, there are yellow bars that represent the precipitation levels for each month, displaying varying heights corresponding to the amount of rainfall.

The elements of the chart are enclosed within a black border. A legend is present in the top left corner, indicating that the red line corresponds to ""Max,"" the blue line to ""Min,"" and the yellow bars indicate ""Précipitations."" The background color of the precipitation bars is yellow, while the gridlines are faint, facilitating the visualization of the data.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    \begin{axis}[
        width=15cm,
        height=10cm,
        xlabel={Mois},
        ylabel={Température (°C)},
        ymajorgrids=true,
        grid style={gray!30},
        ymin=0, ymax=30,
        ytick={0,5,...,30},
        ylabel near ticks,
        y axis line style={->},
        xtick={1,2,...,12},
        xticklabels={Janvier, Février, Mars, Avril, Mai, Juin, Juillet, Août, Septembre, Octobre, Novembre, Décembre},
        legend style={at={(0.5,-0.15)}, anchor=north, legend columns=3},
        axis y line*=left,
        axis x line=bottom,
        % Secondary y-axis for precipitation
        y axis line style={->},
        ylabel={Précipitations (mm)},
        ymajorgrids=false,
        ytick={0,20,...,100},
        yticklabel style={text width=1cm},
        ylabel near ticks,
        y axis line style={->},
        axis y line*=right,
        % Background color for bars
        bar width=0.4cm,
        enlarge x limits=0.15,
        every axis label/.append style={font=\small}
    ]
    
    % Precipitation data (yellow bars)
    \addplot[ybar, yellow, fill=yellow] coordinates {(1,20) (2,30) (3,40) (4,25) (5,60) (6,70) (7,80) (8,75) (9,50) (10,30) (11,20) (12,15)};
    
    % Maximum temperature data (red line)
    \addplot[color=red, mark=*] coordinates {(1,10) (2,12) (3,15) (4,18) (5,22) (6,25) (7,28) (8,27) (9,23) (10,18) (11,12) (12,10)};
    \addplot[color=red] coordinates {(1,10) (2,12) (3,15) (4,18) (5,22) (6,25) (7,28) (8,27) (9,23) (10,18) (11,12) (12,10)};
    
    % Minimum temperature data (blue line)
    \addplot[color=blue, mark=*] coordinates {(1,5) (2,7) (3,8) (4,10) (5,13) (6,16) (7,18) (8,17) (9,14) (10,10) (11,7) (12,5)};
    \addplot[color=blue] coordinates {(1,5) (2,7) (3,8) (4,10) (5,13) (6,16) (7,18) (8,17) (9,14) (10,10) (11,7) (12,5)};
    
    % Legend
    \legend{Précipitations, Max, Min}
    
    \end{axis}
\end{tikzpicture}
    \end{document}"
img_0004.png,"The image depicts a graph with a Cartesian coordinate system featuring both a grid and marked axes. The vertical axis (y-axis) ranges from 0 to 15, while the horizontal axis (x-axis) ranges from 0 to 15 as well. 

A series of points, indicated by plus signs, are positioned in an irregular manner and connect to create a piecewise function, forming a staircase-like descending line. There are several shaded areas beneath this line. 

The graph contains distinct notations: a circle, marked as an open circle, is located at the coordinates (5, 10), while two filled circles appear at coordinates (8, 3) and (12, 3). Additionally, a square filled symbol represents points in the data set, primarily placed horizontally across the graph’s middle portion. 

The shaded area is categorized into two regions: one is an entirely filled region below the “U” line, covering multiple grid squares, while another contains a crosshatched area beneath the main descending function and above the lower curve, labeled as ""L(η)."" 

A legend in the upper right corner labels three symbols: the plus signs denote ""U,"" the squares represent ""N(U),"" and the line type signifies ""L(η)."" The overall graph is structured clearly, with well-defined grid lines assisting in the precise plotting of points and the visual distinction of areas.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}[scale=0.8]
    % Draw the grid
    \draw[very thin, gray] (0,0) grid (15,15);
    
    % Draw the axes
    \draw[->] (0,0) -- (15,0) node[right] {x};
    \draw[->] (0,0) -- (0,15) node[above] {y};
    
    % Mark the axes
    \foreach \x in {0, 1, ..., 15} \draw (\x,0.2) -- (\x,-0.2) node[below] {\x};
    \foreach \y in {0, 1, ..., 15} \draw (0.2,\y) -- (-0.2,\y) node[left] {\y};
    
    % Draw the staircase-like function
    \draw[thick] (0,15) -- (5,10) -- (8,3) -- (12,3) -- (15,0);
    
    % Open circle at (5,10)
    \draw[open circle, fill=white] (5,10) circle (5pt);
    
    % Filled circles at (8,3) and (12,3)
    \fill (8,3) circle (5pt);
    \fill (12,3) circle (5pt);
    
    % Squares for N(U)
    \fill[black] (1,7) rectangle (2,8);
    \fill[black] (3,7) rectangle (4,8);
    \fill[black] (5,7) rectangle (6,8);
    \fill[black] (7,7) rectangle (8,8);
    
    % Shaded area under U
    \fill[blue!30] (0,0) -- (0,15) -- (5,10) -- (0,10) -- cycle;
    
    % Crosshatched area under the staircase
    \begin{scope}
        \clip (5,10) -- (8,3) -- (12,3) -- (15,0) -- (15,0) -- (5,0) -- cycle;
        \fill[pattern=checkerboard, pattern color=gray!30] (5,10) -- (8,3) -- (12,3) -- (15,0) -- (15,0) -- (5,0) -- cycle;
    \end{scope}
    
    % Legend
    \draw[thick] (12,12) -- (13,12) node[right] {U (plus signs)};
    \fill (12,11) circle (5pt);
    \draw[thick] (12,10) -- (13,10) node[right] {N(U) (squares)};
    \fill[black] (12,9) rectangle (12.5,9.5);
    \draw[thick] (12,8) -- (13,8) node[right] {L(η) (line)};
    \draw[thick] (12,7) -- (12.5,7) -- (12.5,6);
\end{tikzpicture}
    \end{document}"
img_0005.png,"The image depicts a simple diagram consisting of three labeled segments that form a right triangle. At the bottom, there is a horizontal line representing segment S1. Extending vertically from the left end of S1, there is a vertical line segment representing S2. At the top of S2, there is a diagonal line segment extending from the end of S2 to the right, which represents S3. The angle formed between S2 and S1 is a right angle, while S3 connects the ends of S2 and S1. Each segment is clearly labeled with its respective designation: S1 at the bottom, S2 on the left vertical, and S3 on the upper diagonal. The placement of the labels is such that S2 is near the bottom left, S1 is centered below, and S3 is at the upper right end of the diagonal line.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    \draw[thick] (0,0) -- (4,0) node[midway, below] {S1};
    \draw[thick] (0,0) -- (0,3) node[midway, left] {S2};
    \draw[thick] (0,3) -- (4,0) node[midway, right] {S3};
    \draw[thick] (0,0) rectangle (0.1,0.1); % Right angle marker
\end{tikzpicture}
    \end{document}"
img_0006.png,"The image features two stick figures drawn in a minimalistic style. The figure on the left has a circular head that connects to a straight vertical line for the body. The arms are represented by a single horizontal line extending from the body, with one arm bent and ending in a circle. The legs are depicted with two diagonal lines stemming from the bottom of the body, each connecting to a circle at the feet. The figure on the right has a circular head as well, with a straight vertical line for the body. Its arms are horizontal lines extending from the body, with one arm featuring a horizontal line that ends in a circle, representing a hand. The legs are two diagonal lines that meet at a point and extend downward, also connecting to circles at the feet. Both figures are drawn with simple black lines and circles on a white background.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % Left stick figure
    % Head
    \draw[black] (0,2) circle (0.2);
    % Body
    \draw[black] (0,1.8) -- (0,0);
    % Arms
    \draw[black] (-0.5,1.5) -- (0.5,1.5);
    \draw[black] (0,1.5) -- (0.5,1.5);
    \draw[black] (0.5,1.5) -- (0.5,1.7);
    % Legs
    \draw[black] (0,0) -- (-0.5,-1);
    \draw[black] (0,0) -- (0.5,-1);
    \draw[black] (-0.5,-1) circle (0.1);
    \draw[black] (0.5,-1) circle (0.1);
    
    % Right stick figure
    % Head
    \draw[black] (2,2) circle (0.2);
    % Body
    \draw[black] (2,1.8) -- (2,0);
    % Arms
    \draw[black] (1.5,1.5) -- (2.5,1.5);
    \draw[black] (2,1.5) -- (2.5,1.5);
    \draw[black] (2.5,1.5) -- (2.5,1.7);
    % Legs
    \draw[black] (2,0) -- (1.5,-1);
    \draw[black] (2,0) -- (2.5,-1);
    \draw[black] (1.5,-1) circle (0.1);
    \draw[black] (2.5,-1) circle (0.1);
\end{tikzpicture}
    \end{document}"
img_0007.png,"The image is a line graph that depicts BLEU scores for various language pairs against different instruction scales. The x-axis is labeled ""Instruction Scales"" and has five tick marks indicating the values from 1/10 to 1, spaced evenly. The y-axis is labeled ""BLEU"" and ranges from 20 to 50 in increments of 10. 

There are four data series represented by different colored markers and lines. The series for ""Zh-En"" (Chinese to English) is shown with blue circles and a solid line. ""De-En"" (German to English) is depicted with red squares and a dashed line. ""Fr-En"" (French to English) is represented with brown circles and a solid line. The series for ""De-En"" has a distinct line that is drawn slightly above the others while ""Zh-En"" starts low and progresses steadily upward. 

A legend is located inside the graph area: the ""Zh-En"" series is indicated by blue circles, ""De-En"" by red squares, and ""Fr-En"" by brown circles. The graph has a clean background with no gridlines, and the overall presentation is minimalistic yet informative.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    \begin{axis}[
        xlabel={Instruction Scales},
        ylabel={BLEU},
        xtick={1,2,3,4,5},
        xticklabels={0.1,0.3,0.5,0.7,1},
        ytick={20,30,40,50},
        ymin=20, ymax=50,
        legend style={at={(0.5,-0.15)}, anchor=north, legend columns=3},
        grid=none,
        width=10cm,
        height=6cm
    ]
    \addplot[color=blue, mark=o] coordinates {(1,25) (2,30) (3,35) (4,40) (5,45)};
    \addplot[color=red, mark=square, dashed] coordinates {(1,30) (2,35) (3,40) (4,45) (5,50)};
    \addplot[color=brown, mark=o] coordinates {(1,20) (2,25) (3,30) (4,35) (5,40)};
    
    \legend{Zh-En, De-En, Fr-En}
    \end{axis}
\end{tikzpicture}
    \end{document}"
img_0008.png,"The image contains three diagrams arranged horizontally. 

On the left, the first diagram features a Y-shaped structure that has three lines extending upward from a central junction, representing the vertices of a graph. 

The middle diagram, labeled with the symbol \( \Gamma_2 \), depicts a similar Y-shape but with four lines curving outward from two junction points at the bottom and one central junction at the top. This forms a symmetric structure with a more intricate appearance compared to the first.

On the right, labeled \( C \), the third diagram also has a Y-shape but contains six lines. Three lines extend outward from the central junction positioned at the bottom while three other lines curve inward from the outer edges to reconnect at the top again, creating a symmetrical and complex figure.

All diagrams are drawn in simple black lines on a white background, with arrows at the tips of some lines indicating directionality.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % First Diagram
    \begin{scope}
        \draw[->] (0,0) -- (0,1.5);
        \draw[->] (-1,0) -- (0,0);
        \draw[->] (1,0) -- (0,0);
        \draw[->] (0,0) -- (-1,1);
        \draw[->] (0,0) -- (1,1);
    \end{scope}
    \hspace{1cm}
    % Second Diagram
    \begin{scope}
        \node at (0,1.5) {\( \Gamma_2 \)};
        \draw[->] (0,0) -- (0,1.5);
        \draw[->] (-1,0) -- (0,0);
        \draw[->] (1,0) -- (0,0);
        \draw[->] (0,0) -- (-1,1);
        \draw[->] (0,0) -- (1,1);
        \draw[->] (-1,0) -- (-1,1);
        \draw[->] (1,0) -- (1,1);
    \end{scope}
    \hspace{1cm}
    % Third Diagram
    \begin{scope}
        \node at (0,1.5) {\( C \)};
        \draw[->] (0,0) -- (0,1);
        \draw[->] (-1,0) -- (0,0);
        \draw[->] (1,0) -- (0,0);
        \draw[->] (0,0) -- (-1,1);
        \draw[->] (0,0) -- (1,1);
        \draw[->] (0,1) -- (0,2);
        \draw[->] (-1,1) -- (-1,2);
        \draw[->] (1,1) -- (1,2);
    \end{scope}
\end{tikzpicture}
    \end{document}"
