Sample,Caption,LaTeX_Document
Sample,Caption,"\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
\node at (0,0) {Caption};
\end{tikzpicture}
    \end{document}"
1,"Could some one fix this tikz code?

\documentclass[11pt, twosides]{book}
\usepackage[a4paper, top=.5cm]{geometry}
\usepackage[myheadings]{fullpage}
\usepackage{fancyhdr}
\usepackage{lastpage}
\usepackage{graphicx, wrapfig, subcaption, setspace}
\usepackage{mathpazo}
\usepackage[T1]{fontenc}
\usepackage[font=small, labelfont=bf]{caption}
\usepackage[protrusion=true, expansion=true]{microtype}
\usepackage{sectsty}
\usepackage{url, lipsum}
\usepackage{etoolbox}
\usepackage[explicit]{titlesec}
\usepackage{epigraph}
\usepackage{tikz}
\usepackage{tikzpagenodes}
\titleformat{\chapter}[display]
{\normalfont\huge}
{}
{20pt}
{%
\begin{tikzpicture}[remember picture,overlay]
\fill[top color=green, bottom color=blue] 
(16,-23) rectangle (18.5,7);
\node[
anchor= east,
xshift=1cm,
text width=\textwidth] 
at ([yshift=5pt]titlerect.east) {\fontsize{30}{36}\sffamily\selectfont#1};
\node[
anchor= east,
inner xsep=3cm,
outer sep=0pt,
font=\color{blue}]%,
at ([yshift=.5cm]current page.east|-titlerect.east)
{\fontsize{80}{86}\bfseries\thechapter};
\node[
anchor= east,
xshift=11.5cm,
yshift=-11cm,
text width=\textwidth] 
at ([yshift=5pt]titlerect.east) {\fontsize{30}{36}\scshape\selectfont\rotatebox{90}{\color{white}#1}};
\end{tikzpicture}%
}
\titleformat{name=\chapter,numberless}[display]
{\normalfont\huge}
{}
{20pt}
{%
\begin{tikzpicture}[remember picture,overlay]
\fill[top color=green, bottom color=blue] 
(16,-25) rectangle (18.5,7);
\node[
anchor=west,
rectangle,
minimum height=4cm,
text width=\paperwidth,
xshift=-\the\dimexpr\oddsidemargin+1in\relax,
outer sep=0pt] (titlerect) {};
\node[
anchor=south west,
xshift=6cm,
yshift=2cm,
text width=\textwidth] 
at (titlerect.south west) {\sffamily\Huge#1};
\node[
anchor= east,
xshift=11.5cm,
yshift=-11cm,
text width=\textwidth] 
at ([yshift=5pt]titlerect.east) {\fontsize{30}{36}\scshape\selectfont\rotatebox{90}{\color{white}#1}};
\end{tikzpicture}%
}[]
\titlespacing*{\chapter}
{0pt}{-20pt}{60pt}
\titlespacing*{\chapter}
{0pt}{-20pt}{60pt}
\titleformat{\section}[display] 
{\bfseries\normalsize}
{}
{5pt}
{\color{blue}\thesection~~ #1}
\titleformat{name=\section, numberless}[display]
{\bfseries\normalsize}
{}
{5pt}
{#1}

\titleformat{\subsection}[display]
{\itshape\normalsize}
{}
{5pt}
{\color{blue}\thesection~~ #1}

\fancypagestyle{plain}
{
\fancyhf{}
\fancyfoot{}
\renewcommand{\headrulewidth}{0 mm}
}

\title{Title}
\author{Author}
\date{}
\textwidth=13cm
\begin{document}

\maketitle

\chapter{Random}

\section{Lipsum}

\lipsum[2]

\subsection{Subsection}

\lipsum[1]
\end{document}","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    ```latex
\begin{tikzpicture}[remember picture,overlay]
\fill[top color=green, bottom color=blue] 
(16,-23) rectangle (18.5,7);
\node[
anchor= east,
xshift=1cm,
text width=\textwidth] 
at ([yshift=5pt]titlerect.east) {\fontsize{30}{36}\sffamily\selectfont#1};
\node[
anchor= east,
inner xsep=3cm,
outer sep=0pt,
font=\color{blue}]%,
at ([yshift=.5cm]current page.east|-titlerect.east)
{\fontsize{80}{86}\bfseries\thechapter};
\node[
anchor= east,
xshift=11.5cm,
yshift=-11cm,
text width=\textwidth] 
at ([yshift=5pt]titlerect.east) {\fontsize{30}{36}\scshape\selectfont\rotatebox{90}{\color{white}#1}};
\end{tikzpicture}
    \end{document}"
2,"(Left) The polytope $P_A$ for Example \ref{ex:blob}\\(Right) The completable region and curves defined by {\color{black!60!red}$f(u,v) = 0$} and {\color{black!30!blue}$g(u,v) = 0$}","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % Left: Polytope P_A
    \begin{scope}
        \fill[blue!20] (0,0) -- (2,0) -- (2,2) -- (0,2) -- cycle;
        \draw[thick] (0,0) -- (2,0) -- (2,2) -- (0,2) -- cycle;
        \node at (1,1) {\textbf{Polytope $P_A$}};
    \end{scope}
    
    % Right: Completable region and curves
    \begin{scope}[xshift=4cm]
        \fill[red!20] (0,0) -- (3,0) -- (3,3) -- (0,3) -- cycle;
        \draw[thick, black!60!red] plot[domain=0:3] (\x, {0.5*\x*\x - 1}) node[right] {\color{black!60!red}$f(u,v) = 0$};
        \draw[thick, black!30!blue] plot[domain=0:3] (\x, {1.5*\x - 2}) node[right] {\color{black!30!blue}$g(u,v) = 0$};
        \node at (1.5,1.5) {\textbf{Completable Region}};
    \end{scope}
\end{tikzpicture}
    \end{document}"
3,The domain $\Omega$ with boundary conditions.,"\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % Domain
    \fill[blue!20] (0,0) rectangle (4,3);
    
    % Boundary
    \draw[thick] (0,0) rectangle (4,3);
    
    % Labels
    \node at (2,1.5) {\textbf{\large $\Omega$}};
    \node[anchor=east] at (0,1.5) {Boundary};
\end{tikzpicture}
    \end{document}"
4,"2 axes scaling problem

I have two problems :
the arrow on x axis.
The left y axis does't match all the hight as the right does.
I want on the left axe ymin=0 ymax=25 and the ticks lines in front of the tick lines of the right's one.
I tried with ymin, ymax, and max space between ticks, but nothing good.

\begin{tikzpicture}

% let both axes use the same layers
\pgfplotsset{set layers}

\begin{axis}[%
scale only axis=true,
ybar, bar width=10pt, 
ymin=0,ymax=100,
enlargelimits=0.05,
%axis x line=box,
axis y line=right,
symbolic x coords=%
{Janvier,Février,Mars,Avril,Mai,Juin,Juillet,
Août,Septembre,Octobre,Novembre,Décembre},
xtick=data,
x tick label style={rotate=60,anchor=east},
legend style={at={(0.1,0.85)}, anchor=south west,legend columns=-1},
%nodes near coords,
%nodes near coords align={vertical},
]


\addplot[style={draw=yellow!80!black,fill=yellow!40!white}] coordinates {%
(Janvier,85)
(Février,75)
(Mars,60)
(Avril,59)
(Mai,62)
(Juin,42)
(Juillet,48)
(Août,41)
(Septembre,69)
(Octobre,80)
(Novembre,81)
(Décembre,91)
} ;

\legend{Précipitations} ;
\end{axis}


%\end{tikzpicture}

%\begin{tikzpicture}
\begin{axis}[
scale only axis = true,
ymin=0,
max space between ticks=28,
axis y line=left,
enlargelimits=0.05,
axis x line=none,
symbolic x coords=%
{Janvier,Février,Mars,Avril,Mai,Juin,Juillet,
Août,Septembre,Octobre,Novembre,Décembre},
legend style={at={(0.1,.93)}, anchor=south west,legend columns=-1},
]

\addplot[red,mark=*] coordinates {%
(Janvier,9)
(Février,10)
(Mars,13)
(Avril,15)
(Mai,18)
(Juin,22)
(Juillet,24.5)
(Août,25)
(Septembre,22.5)
(Octobre,18)
(Novembre,13)
(Décembre,10.5) 
} ;

\addplot[blue,mark=*] coordinates {%
(Janvier,3)
(Février,3.5)
(Mars,4.5)
(Avril,6.5)
(Mai,9.5)
(Juin,12)
(Juillet,14)
(Août,14)
(Septembre,12)
(Octobre,9)
(Novembre,6)
(Décembre,4) 
} ;

\legend{Max,Min} ;

\end{axis}
\end{tikzpicture}","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}

% let both axes use the same layers
\pgfplotsset{set layers}

\begin{axis}[%
scale only axis=true,
ybar, bar width=10pt, 
ymin=0,ymax=100,
enlargelimits=0.05,
axis y line=right,
symbolic x coords=%
{Janvier,Février,Mars,Avril,Mai,Juin,Juillet,
Août,Septembre,Octobre,Novembre,Décembre},
xtick=data,
x tick label style={rotate=60,anchor=east},
legend style={at={(0.1,0.85)}, anchor=south west,legend columns=-1},
]

\addplot[style={draw=yellow!80!black,fill=yellow!40!white}] coordinates {%
(Janvier,85)
(Février,75)
(Mars,60)
(Avril,59)
(Mai,62)
(Juin,42)
(Juillet,48)
(Août,41)
(Septembre,69)
(Octobre,80)
(Novembre,81)
(Décembre,91)
} ;

\legend{Précipitations} ;
\end{axis}

\begin{axis}[
scale only axis = true,
ymin=0,
ymax=25,
max space between ticks=5,
axis y line=left,
enlargelimits=0.05,
axis x line=none,
symbolic x coords=%
{Janvier,Février,Mars,Avril,Mai,Juin,Juillet,
Août,Septembre,Octobre,Novembre,Décembre},
ytick={0,5,10,15,20,25},
legend style={at={(0.1,.93)}, anchor=south west,legend columns=-1},
]

\addplot[red,mark=*] coordinates {%
(Janvier,9)
(Février,10)
(Mars,13)
(Avril,15)
(Mai,18)
(Juin,22)
(Juillet,24.5)
(Août,25)
(Septembre,22.5)
(Octobre,18)
(Novembre,13)
(Décembre,10.5) 
} ;

\addplot[blue,mark=*] coordinates {%
(Janvier,3)
(Février,3.5)
(Mars,4.5)
(Avril,6.5)
(Mai,9.5)
(Juin,12)
(Juillet,14)
(Août,14)
(Septembre,12)
(Octobre,9)
(Novembre,6)
(Décembre,4) 
} ;

\legend{Max,Min} ;

\end{axis}
\end{tikzpicture}
    \end{document}"
5,"The lower bound set $\mathcal{L}(\eta)$, depicted by the solid line, is partially dominated by the upper bound set $\mathcal{U}$, represented by the crosses. In this situation, it is possible to split the problem into three disjoint sub-problems in the objective space. Each sub-problem is highlighted by the hatched areas, and its corresponding super local upper bound is depicted by its closest large circle.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % Draw the lower bound set
    \draw[thick] plot[domain=0:4] (\x, {0.5*\x + 1}) node[right] {$\mathcal{L}(\eta)$};
    
    % Draw the upper bound set
    \foreach \x in {0.5, 1.5, 2.5, 3.5} {
        \fill[red] (\x, 3) circle (3pt);
    }
    \node at (4, 3) {$\mathcal{U}$};
    
    % Draw the hatched areas for sub-problems
    \begin{scope}
        \clip (0, 0) -- (0, 3) -- (2, 3) -- (2, 0) -- cycle;
        \fill[pattern=checkerboard, pattern color=gray] (0, 0) rectangle (2, 3);
    \end{scope}
    \begin{scope}
        \clip (2, 0) -- (2, 3) -- (4, 3) -- (4, 0) -- cycle;
        \fill[pattern=checkerboard, pattern color=gray] (2, 0) rectangle (4, 3);
    \end{scope}
    
    % Draw the large circles for super local upper bounds
    \draw[thick] (1, 3.5) circle (0.5) node {Sub-problem 1};
    \draw[thick] (3, 3.5) circle (0.5) node {Sub-problem 2};
\end{tikzpicture}
    \end{document}"
6,At an angle point.,"\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    \draw[thick] (0,0) -- (2,2);
    \draw[thick] (0,0) -- (2,-2);
    \draw[thick] (0,0) -- (-2,2);
    \draw[thick] (0,0) -- (-2,-2);
    \draw[fill=black] (0,0) circle (2pt);
\end{tikzpicture}
    \end{document}"
7,Two dessins with monodromy group ${\rm M}_{12}$. The field of moduli for both of them is $\mathbb{Q}(\!\sqrt{-11})$.,"\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % First dessin
    \begin{scope}[xshift=0cm]
        \draw[thick] (0,0) circle(2);
        \draw[thick] (0,0) -- (2,0);
        \draw[thick] (0,0) -- (-1.5,1.5);
        \draw[thick] (0,0) -- (-1.5,-1.5);
        \draw[thick] (0,0) -- (1.5,1.5);
        \draw[thick] (0,0) -- (1.5,-1.5);
        
        \foreach \i in {0,1,2,3,4,5}
            \fill[black] ({2*cos(60*\i)},{2*sin(60*\i)}) circle(2pt);
        
        \node at (0,-2.5) {Dessin 1};
    \end{scope}
    
    % Second dessin
    \begin{scope}[xshift=5cm]
        \draw[thick] (0,0) circle(2);
        \draw[thick] (0,0) -- (2,0);
        \draw[thick] (0,0) -- (0,2);
        \draw[thick] (0,0) -- (-2,0);
        \draw[thick] (0,0) -- (0,-2);
        
        \foreach \i in {0,1,2,3}
            \fill[black] ({2*cos(90*\i)},{2*sin(90*\i)}) circle(2pt);
        
        \node at (0,-2.5) {Dessin 2};
    \end{scope}
\end{tikzpicture}
    \end{document}"
8,Translation performance on different instruction scales.,"\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    \begin{axis}[
        title={Translation Performance on Different Instruction Scales},
        xlabel={Instruction Scale},
        ylabel={Performance (BLEU Score)},
        xmin=0, xmax=10,
        ymin=0, ymax=100,
        xtick={0,1,...,10},
        ytick={0,10,...,100},
        grid=both,
        legend pos=north west,
        legend style={font=\tiny},
        cycle list name=color list
    ]
    \addplot coordinates {(1,20) (2,30) (3,50) (4,65) (5,75) (6,80) (7,85) (8,90) (9,95) (10,98)};
    \addplot coordinates {(1,15) (2,25) (3,40) (4,55) (5,70) (6,78) (7,82) (8,88) (9,92) (10,96)};
    \legend{Model A, Model B}
    \end{axis}
\end{tikzpicture}
    \end{document}"
9,"The original graph $\Gamma$ (left); the ``doubled graph'' $\Gamma_2$ (centre); an Eulerian cycle $C$ (right), which forms a closed cycle in $\Gamma_2$, traversing every edge exactly once.","\documentclass[tikz,border=10pt]{standalone}
    \usepackage{tikz}
    \usetikzlibrary{arrows.meta, positioning, shapes.geometric}
    
    \begin{document}
    \begin{tikzpicture}
    % Original graph Gamma
    \begin{scope}
        \node[circle, draw] (A) at (0, 0) {A};
        \node[circle, draw] (B) at (2, 2) {B};
        \node[circle, draw] (C) at (2, -2) {C};
        \node[circle, draw] (D) at (4, 0) {D};
        
        \draw (A) -- (B);
        \draw (A) -- (C);
        \draw (B) -- (D);
        \draw (C) -- (D);
    \end{scope}

    % Doubled graph Gamma_2
    \begin{scope}[xshift=6cm]
        \node[circle, draw] (A) at (0, 0) {A};
        \node[circle, draw] (B) at (2, 2) {B};
        \node[circle, draw] (C) at (2, -2) {C};
        \node[circle, draw] (D) at (4, 0) {D};

        \draw (A) -- (B);
        \draw (A) -- (C);
        \draw (B) -- (D);
        \draw (C) -- (D);
        
        % Doubling the edges
        \draw[dashed] (A) -- (B);
        \draw[dashed] (A) -- (C);
        \draw[dashed] (B) -- (D);
        \draw[dashed] (C) -- (D);
    \end{scope}

    % Eulerian cycle C
    \begin{scope}[xshift=12cm]
        \node[circle, draw] (A) at (0, 0) {A};
        \node[circle, draw] (B) at (2, 2) {B};
        \node[circle, draw] (C) at (2, -2) {C};
        \node[circle, draw] (D) at (4, 0) {D};

        \draw[->, thick, red] (A) -- (B);
        \draw[->, thick, red] (B) -- (D);
        \draw[->, thick, red] (D) -- (C);
        \draw[->, thick, red] (C) -- (A);
        \draw[->, thick, red] (A) -- (C);
        \draw[->, thick, red] (C) -- (B);
    \end{scope}
\end{tikzpicture}
    \end{document}"
